"FIPSCode","countyName","stateFIPS","countyFIPS","state","mditype_store"
"31079","Hall",31,79,"Nebraska","Coroner"
"31143","Polk",31,143,"Nebraska","Coroner"
"31157","Scotts Bluff",31,157,"Nebraska","Coroner"
"31109","Lancaster",31,109,"Nebraska","Coroner"
"31007","Banner",31,7,"Nebraska","Coroner"
"31015","Boyd",31,15,"Nebraska","Coroner"
"31099","Kearney",31,99,"Nebraska","Coroner"
"31131","Otoe",31,131,"Nebraska","Coroner"
"31061","Franklin",31,61,"Nebraska","Coroner"
"31081","Hamilton",31,81,"Nebraska","Coroner"
"31017","Brown",31,17,"Nebraska","Coroner"
"31025","Cass",31,25,"Nebraska","Coroner"
"31105","Kimball",31,105,"Nebraska","Coroner"
"31113","Logan",31,113,"Nebraska","Coroner"
"31041","Custer",31,41,"Nebraska","Coroner"
"31159","Seward",31,159,"Nebraska","Coroner"
"31181","Webster",31,181,"Nebraska","Coroner"
"31111","Lincoln",31,111,"Nebraska","Coroner"
"31183","Wheeler",31,183,"Nebraska","Coroner"
"31087","Hitchcock",31,87,"Nebraska","Coroner"
"31115","Loup",31,115,"Nebraska","Coroner"
"31037","Colfax",31,37,"Nebraska","Coroner"
"31141","Platte",31,141,"Nebraska","Coroner"
"31031","Cherry",31,31,"Nebraska","Coroner"
"31091","Hooker",31,91,"Nebraska","Coroner"
"31057","Dundy",31,57,"Nebraska","Coroner"
"31001","Adams",31,1,"Nebraska","Coroner"
"31071","Garfield",31,71,"Nebraska","Coroner"
"31059","Fillmore",31,59,"Nebraska","Coroner"
"31035","Clay",31,35,"Nebraska","Coroner"
"31011","Boone",31,11,"Nebraska","Coroner"
"31163","Sherman",31,163,"Nebraska","Coroner"
"31009","Blaine",31,9,"Nebraska","Coroner"
"31067","Gage",31,67,"Nebraska","Coroner"
"31117","McPherson",31,117,"Nebraska","Coroner"
"31129","Nuckolls",31,129,"Nebraska","Coroner"
"31047","Dawson",31,47,"Nebraska","Coroner"
"31077","Greeley",31,77,"Nebraska","Coroner"
"31019","Buffalo",31,19,"Nebraska","Coroner"
"31097","Johnson",31,97,"Nebraska","Coroner"
"31123","Morrill",31,123,"Nebraska","Coroner"
"31045","Dawes",31,45,"Nebraska","Coroner"
"31013","Box Butte",31,13,"Nebraska","Coroner"
"31127","Nemaha",31,127,"Nebraska","Coroner"
"31153","Sarpy",31,153,"Nebraska","Coroner"
"31049","Deuel",31,49,"Nebraska","Coroner"
"31051","Dixon",31,51,"Nebraska","Coroner"
"31171","Thomas",31,171,"Nebraska","Coroner"
"31023","Butler",31,23,"Nebraska","Coroner"
"31039","Cuming",31,39,"Nebraska","Coroner"
"31043","Dakota",31,43,"Nebraska","Coroner"
"31005","Arthur",31,5,"Nebraska","Coroner"
"31179","Wayne",31,179,"Nebraska","Coroner"
"31053","Dodge",31,53,"Nebraska","Coroner"
"31161","Sheridan",31,161,"Nebraska","Coroner"
"31175","Valley",31,175,"Nebraska","Coroner"
"31185","York",31,185,"Nebraska","Coroner"
"31103","Keya Paha",31,103,"Nebraska","Coroner"
"31125","Nance",31,125,"Nebraska","Coroner"
"31101","Keith",31,101,"Nebraska","Coroner"
"31165","Sioux",31,165,"Nebraska","Coroner"
"31133","Pawnee",31,133,"Nebraska","Coroner"
"31167","Stanton",31,167,"Nebraska","Coroner"
"31169","Thayer",31,169,"Nebraska","Coroner"
"31083","Harlan",31,83,"Nebraska","Coroner"
"31155","Saunders",31,155,"Nebraska","Coroner"
"31095","Jefferson",31,95,"Nebraska","Coroner"
"31021","Burt",31,21,"Nebraska","Coroner"
"31075","Grant",31,75,"Nebraska","Coroner"
"31107","Knox",31,107,"Nebraska","Coroner"
"31145","Red Willow",31,145,"Nebraska","Coroner"
"31147","Richardson",31,147,"Nebraska","Coroner"
"31149","Rock",31,149,"Nebraska","Coroner"
"31065","Furnas",31,65,"Nebraska","Coroner"
"31085","Hayes",31,85,"Nebraska","Coroner"
"31055","Douglas",31,55,"Nebraska","Coroner"
"31151","Saline",31,151,"Nebraska","Coroner"
"31093","Howard",31,93,"Nebraska","Coroner"
"31137","Phelps",31,137,"Nebraska","Coroner"
"31177","Washington",31,177,"Nebraska","Coroner"
"31033","Cheyenne",31,33,"Nebraska","Coroner"
"31003","Antelope",31,3,"Nebraska","Coroner"
"31073","Gosper",31,73,"Nebraska","Coroner"
"31119","Madison",31,119,"Nebraska","Coroner"
"31135","Perkins",31,135,"Nebraska","Coroner"
"31139","Pierce",31,139,"Nebraska","Coroner"
"31063","Frontier",31,63,"Nebraska","Coroner"
"31089","Holt",31,89,"Nebraska","Coroner"
"31173","Thurston",31,173,"Nebraska","Coroner"
"31069","Garden",31,69,"Nebraska","Coroner"
"31027","Cedar",31,27,"Nebraska","Coroner"
"31029","Chase",31,29,"Nebraska","Coroner"
"31121","Merrick",31,121,"Nebraska","Coroner"
